,country,place,song_name,song_id,views
11,37i9dQZEVXbM1EaZ0igDlz,12,BLESSED (feat. Capital Bra),28tBoBognmn3BBdfjPzSw9,130813
12,37i9dQZEVXbM1EaZ0igDlz,13,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",6uvMKqNlrSvcC4NaKnrwjZ,127368
13,37i9dQZEVXbM1EaZ0igDlz,14,Alles nach Plan,1fW5PpJSmPiVXAi0l92PHm,125272
14,37i9dQZEVXbM1EaZ0igDlz,15,Astronaut In The Ocean,3VT8hOC5vuDXBsHrR53WFh,123420
15,37i9dQZEVXbM1EaZ0igDlz,16,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,120514
16,37i9dQZEVXbM1EaZ0igDlz,17,Favourite Artist,6z7fOAKMA2CcnVzRrNR2T3,118957
17,37i9dQZEVXbM1EaZ0igDlz,18,drivers license,5wANPM4fQCJwkGd4rN57mH,117170
18,37i9dQZEVXbM1EaZ0igDlz,19,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,115492
19,37i9dQZEVXbM1EaZ0igDlz,20,deja vu,6HU7h9RYOaPRFeh0R3UeAr,114975
20,37i9dQZEVXbM1EaZ0igDlz,21,The Business,6f3Slt0GbA2bPZlz0aIFXN,110851
21,37i9dQZEVXbM1EaZ0igDlz,22,Frag mich nicht,5ZIFzmhVJRO3tRwtBXrPXh,108463
22,37i9dQZEVXbM1EaZ0igDlz,23,I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk,108106
23,37i9dQZEVXbM1EaZ0igDlz,24,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,106542
24,37i9dQZEVXbM1EaZ0igDlz,25,Tu nicht so,4rs0jr2tC1Qg32Fm7zfdsT,104929
25,37i9dQZEVXbM1EaZ0igDlz,26,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,101997
26,37i9dQZEVXbM1EaZ0igDlz,27,Lila,4uzjXVcYivDXD5FHKwVVTR,97801
27,37i9dQZEVXbM1EaZ0igDlz,28,ELMAS,37yAd2kwEI9axbB6UznrOQ,97246
28,37i9dQZEVXbM1EaZ0igDlz,29,Madonna,6a3kNt1UlUOapDKmEr3JzZ,91126
29,37i9dQZEVXbM1EaZ0igDlz,30,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,88083
30,37i9dQZEVXbM1EaZ0igDlz,31,Wasted Love (feat. Lagique),2pPO9YecZimmuVQfIzfV6U,86800
31,37i9dQZEVXbM1EaZ0igDlz,32,Ohne Dich,4hSJUp6k7QeHLxU32MrLIU,86037
32,37i9dQZEVXbM1EaZ0igDlz,33,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,85643
33,37i9dQZEVXbM1EaZ0igDlz,34,Another Love,7jtQIBanIiJOMS6RyCx6jZ,84879
34,37i9dQZEVXbM1EaZ0igDlz,35,Girls Like Us,5SFXOMJJ334Wn2PwBHeRZN,82545
35,37i9dQZEVXbM1EaZ0igDlz,36,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,82389
36,37i9dQZEVXbM1EaZ0igDlz,37,Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q,81984
37,37i9dQZEVXbM1EaZ0igDlz,38,KIDS FROM THE BLOCK,26hbmLeqiz8loWjFshsegF,81859
38,37i9dQZEVXbM1EaZ0igDlz,39,Faded Love,3RcXFW8aiRYHRaDDYBqJ76,79739
39,37i9dQZEVXbM1EaZ0igDlz,40,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,79588
40,37i9dQZEVXbM1EaZ0igDlz,41,Love Not War (The Tampa Beat),4Lt6GXGzYsa1tgkv3nGSTm,75636
41,37i9dQZEVXbM1EaZ0igDlz,42,Arcade,1J14CdDAvBTE1AJYUOwl6C,75468
42,37i9dQZEVXbM1EaZ0igDlz,43,The One,6j0l7Hjt6qeDCQnYBZuJXY,75436
43,37i9dQZEVXbM1EaZ0igDlz,44,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,75026
44,37i9dQZEVXbM1EaZ0igDlz,45,Iko Iko (My Bestie),7MC4XR9M9amdmKQr2iDF7i,74572
45,37i9dQZEVXbM1EaZ0igDlz,46,Head Shoulders Knees & Toes (feat. Norma Jean Martine),6i7zAdNhzUN2k1HcrBxPHG,73721
46,37i9dQZEVXbM1EaZ0igDlz,47,Save Your Tears,5QO79kh1waicV47BqGRL3g,73573
47,37i9dQZEVXbM1EaZ0igDlz,48,An meinem schlechtesten Tag (feat. Samra),2k3eSZAcD5asE39rpNQUOU,73497
