region,position,song_name,song_id,views,duration_ms,popularity,artist_name,artist_id,album_name,album_id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
Global,32,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,14609463,205090,88,Bad Bunny,4q3ewBCX7sLwd24euuV69X,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,2020-11-27,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,"['latin', 'reggaeton', 'trap latino']"
Global,33,telepatía,6tDDoYIxWvMLTdKpjFkc1B,14316943,160191,93,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,Sin Miedo (del Amor y Otros Demonios) ∞,00wSTrFxoSzA7eeS1UxHgd,2020-12-04,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,"['colombian pop', 'pop']"
Global,34,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,14150394,218801,88,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,The Off-Season,4JAvwK4APPArjIsOdGoJXX,2021-05-14,0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021,"['conscious hip hop', 'north carolina hip hop', 'rap']"
Global,35,The Business,6f3Slt0GbA2bPZlz0aIFXN,14105193,164000,93,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,The Business,2adSO4KU3FDjeM1PXCRDZm,2020-09-16,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
Global,36,Your Power,5qNh5WtzMbfpSj2jLlBkoD,13838465,245896,93,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Your Power,7H3vJa2HHgxb7qqclOdfJ3,2021-04-29,0.634,0.285,9,-14.007,0,0.0807,0.937,0.000359,0.232,0.203,129.65,"['electropop', 'pop']"
Global,37,Botella Tras Botella,2MnLkFqY9Rpg9s3Zv6ZJdK,13485730,197333,92,Gera MX,2hejA1Dkf8v8R0koF44FvW,Botella Tras Botella,3Jv8XjzlQel3avRbOzysXB,2021-04-23,0.727,0.546,0,-4.572,1,0.0437,0.656,0.0,0.122,0.69,106.891,"['mexican hip hop', 'rap conciencia']"
Global,38,EL MAKINON,2FSGUA0gFgGeQdprjtGM2M,13374410,209160,91,KAROL G,790FomKkXshlbRYZFtlgla,KG0516,5CS8E6JVACItYto4OOJoPW,2021-03-26,0.635,0.706,5,-3.224,0,0.125,0.256,0.0,0.108,0.443,88.863,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Global,39,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,12700964,218210,88,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,The Off-Season,4JAvwK4APPArjIsOdGoJXX,2021-05-14,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,"['conscious hip hop', 'north carolina hip hop', 'rap']"
Global,40,Arcade,1J14CdDAvBTE1AJYUOwl6C,12677490,185146,82,Duncan Laurence,3klZnJvYGIbWritVwQD434,Small Town Boy (Track By Track),4fEgAL4ge9hHhxVDCUZbeF,2020-11-12,0.453,0.35,9,-11.639,0,0.0425,0.827,0.00122,0.144,0.279,72.017,['dutch pop']
Global,41,Save Your Tears,5QO79kh1waicV47BqGRL3g,12554090,215626,93,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,"['canadian contemporary r&b', 'canadian pop', 'pop']"
