,country,place,song_name,song_id,views
95,Australia,46,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,488803
96,Australia,47,Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,475528
97,Australia,48,We're Good,1diS6nkxMQc3wwC4G1j0bh,468866
98,Australia,49,Runaway,1v1oIWf2Xgh54kIWuKsDf6,459253
99,Australia,50,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,448253
100,Austria,1,good 4 u,4ZtFanR9U6ndgddUvNcjcG,349610
101,Austria,2,ZITTI E BUONI,776AftMmFFAWUIEAb3lHhw,213943
102,Austria,3,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd,185951
103,Austria,4,Vielen Dank,4xN9cgMVhYyhnugUFZdhcZ,185421
104,Austria,5,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,171220
105,Austria,6,Ich darf das,4txsSBdT4yVJtUj41YaQEB,169409
106,Austria,7,Liege wieder wach,2knDuFWczh1Wv92eBAdPTa,153395
107,Austria,8,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,3iw6V4LH7yPj1ESORX9RIN,148021
108,Austria,9,Extasy,79lc69ZXfL4WmJIzVSDmWT,140063
109,Austria,10,Butter,3VqeTFIvhxu3DIe4eZVzGq,136937
110,Austria,11,Cover Me In Sunshine,0UKUfxIkDAMZz7hMdiVX3m,133439
111,Austria,12,BLESSED (feat. Capital Bra),28tBoBognmn3BBdfjPzSw9,130813
112,Austria,13,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",6uvMKqNlrSvcC4NaKnrwjZ,127368
113,Austria,14,Alles nach Plan,1fW5PpJSmPiVXAi0l92PHm,125272
114,Austria,15,Astronaut In The Ocean,3VT8hOC5vuDXBsHrR53WFh,123420
115,Austria,16,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,120514
116,Austria,17,Favourite Artist,6z7fOAKMA2CcnVzRrNR2T3,118957
117,Austria,18,drivers license,5wANPM4fQCJwkGd4rN57mH,117170
118,Austria,19,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,115492
119,Austria,20,deja vu,6HU7h9RYOaPRFeh0R3UeAr,114975
120,Austria,21,The Business,6f3Slt0GbA2bPZlz0aIFXN,110851
121,Austria,22,Frag mich nicht,5ZIFzmhVJRO3tRwtBXrPXh,108463
122,Austria,23,I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk,108106
123,Austria,24,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,106542
124,Austria,25,Tu nicht so,4rs0jr2tC1Qg32Fm7zfdsT,104929
125,Austria,26,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,101997
126,Austria,27,Lila,4uzjXVcYivDXD5FHKwVVTR,97801
127,Austria,28,ELMAS,37yAd2kwEI9axbB6UznrOQ,97246
